"x","Cell","Batch","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Group"
"11","Cell11","Batch1",0,41,0,8,965,158,1095,94,16,287,297,134,0,6896,349,33,5482,51,118,2610,36,16,10,2617,130,2241,53,46,178,1,7,49,4960,39,413,0,55,457,6,53,495,1805,2895,1017,107,121,9902,10,291,29,430,1645,17,413,6,2834,64,247,42,403,283,201,2039,1,3,2557,27,406,66,370,15,220,5945,165,1637,0,308,635,0,41,84,48,6,13,656,0,38,250,54,245,191,6166,12,68,108,319,181,3,66,39,"Group2"
"12","Cell12","Batch1",0,12,0,7,856,136,963,123,16,164,221,134,0,5820,333,35,4514,24,81,2514,27,20,9,2339,66,1900,48,36,193,7,14,91,3701,19,311,0,124,324,3,70,395,1231,2892,745,58,56,4147,11,305,23,177,1485,17,356,4,2367,60,250,53,344,208,159,1585,11,1,3016,30,281,41,262,27,86,6603,132,1075,0,212,430,1,44,85,21,14,0,688,0,51,226,51,237,101,4912,9,46,104,293,123,2,22,23,"Group1"
"13","Cell13","Batch1",0,9,0,10,906,60,900,97,13,161,131,173,0,5216,276,15,2388,44,60,1525,22,16,9,1219,66,1119,34,26,203,1,2,61,3063,16,310,1,39,260,12,25,264,1069,2569,669,66,65,5644,7,122,21,182,929,30,272,2,2091,52,180,23,296,173,116,1213,16,1,1734,18,316,29,255,23,76,4933,101,1147,0,98,348,0,33,57,25,8,10,377,0,39,179,14,146,84,3392,3,25,72,244,67,1,31,27,"Group2"
"14","Cell14","Batch1",0,42,0,19,868,133,1393,140,29,204,225,210,0,7218,413,22,5342,37,150,3438,61,5,25,1511,70,1617,109,54,255,0,23,69,3767,31,335,0,56,485,24,37,409,1549,3342,856,111,135,7760,14,225,18,345,1711,30,471,1,3031,54,224,29,297,222,230,1911,2,0,3220,4,375,52,329,24,122,7043,137,1460,4,248,706,2,53,80,32,10,1,535,1,42,238,60,199,201,4903,8,28,123,343,177,4,59,24,"Group2"
"15","Cell15","Batch1",0,34,3,15,791,125,913,91,28,247,169,136,0,5224,235,16,3433,48,76,2394,19,12,5,1897,67,1375,77,64,239,6,9,61,3057,21,191,0,39,342,4,36,227,1973,2769,985,85,100,6977,14,169,16,294,1592,5,379,1,2553,61,197,35,336,183,126,1340,4,4,2098,18,255,53,226,22,150,6024,91,986,4,199,379,0,46,52,37,10,1,645,0,30,204,26,177,173,4225,5,55,135,281,109,0,50,21,"Group2"
"16","Cell16","Batch1",0,38,0,18,1243,192,1669,310,48,267,291,220,0,10681,457,53,5867,53,175,3414,65,32,25,2364,51,2427,108,137,388,7,11,72,4457,42,532,0,174,622,10,50,679,2155,4109,1441,98,156,6022,18,419,44,467,1716,18,628,3,3870,100,295,84,467,322,193,2725,10,1,5352,32,465,56,371,59,202,10425,255,2154,0,309,617,3,85,91,66,32,2,914,1,36,350,94,367,248,6873,5,50,156,473,131,8,49,25,"Group1"
"17","Cell17","Batch1",0,16,1,4,513,83,789,78,10,108,108,101,0,4159,229,30,2858,16,31,1799,15,6,6,890,55,762,25,24,77,0,2,56,3034,17,312,1,22,204,1,29,154,861,2129,586,41,32,5127,5,115,17,135,805,11,244,2,1421,42,152,35,242,123,115,882,9,0,1512,23,246,20,148,13,72,2893,73,820,1,123,335,0,24,28,20,12,0,339,0,15,123,23,138,103,2328,7,29,80,208,48,2,45,20,"Group2"
"18","Cell18","Batch1",0,37,0,14,840,98,784,85,24,130,213,153,0,7500,263,14,2988,21,49,1764,29,19,4,1635,69,1117,32,17,128,1,7,51,3573,29,337,0,48,210,0,46,301,1125,1946,635,100,92,7965,20,142,11,265,1079,54,401,0,2099,55,181,20,302,174,178,1053,0,2,2202,33,229,42,285,16,99,5152,111,1169,1,225,345,0,31,61,41,10,1,341,1,34,162,36,204,109,4281,7,38,93,260,93,0,63,32,"Group2"
"19","Cell19","Batch1",0,23,0,16,1128,130,983,102,41,190,295,108,0,6367,329,25,3656,55,74,2450,47,16,13,2000,72,1616,51,27,209,5,13,61,3972,28,290,0,53,413,5,68,395,1749,3392,1077,89,75,7310,19,168,29,263,1201,21,529,0,2796,88,178,40,353,203,148,1728,6,0,2698,15,378,48,251,38,168,6186,113,1213,4,175,562,0,35,72,40,14,3,541,0,41,195,36,220,168,4710,1,38,74,451,118,1,76,34,"Group2"
"20","Cell20","Batch1",0,17,1,26,817,103,1026,110,20,215,191,179,0,7287,264,17,3928,28,72,2408,59,25,4,1925,28,1857,113,46,254,5,16,71,3760,43,442,0,45,294,6,66,357,1530,2639,745,97,70,8701,23,255,10,262,1643,24,385,5,2660,56,199,61,413,201,114,1851,5,0,2966,17,327,46,309,17,102,5918,172,1163,1,198,340,0,48,68,33,17,2,415,0,27,177,42,231,222,4158,5,42,179,472,120,4,64,24,"Group2"
"21","Cell21","Batch2",0,1,1,3,52,81,1246,18,69,2468,734,199,0,406,32,1729,8977,95,0,123,105,0,1,65,192,61,248,544,35,1,74,71,502,3,27,10,543,60,4,6,33,77,258,111,212,52,6920,2,177,3,119,162,0,268,3,250,310,115,52,11,37,51,578,4,211,1265,825,31,107,185,19,583,65,76,117,1,390,211,12,4,169,11,16,2,1016,1,22,1917,416,58,55,13895,12,63,2133,29,396,46,142,2,"Group2"
"22","Cell22","Batch2",0,0,7,5,48,54,1483,16,45,2334,561,202,0,378,38,1567,8693,59,1,98,98,0,9,70,164,51,386,560,46,2,69,43,359,0,22,16,429,45,5,10,52,71,254,143,223,117,6345,8,193,1,149,150,4,213,5,220,216,59,35,6,34,82,569,3,239,1035,874,19,124,192,27,606,90,78,109,2,438,172,17,1,167,3,13,1,1254,0,20,1938,261,45,39,11484,28,50,2223,22,372,16,190,6,"Group2"
"23","Cell23","Batch2",0,1,4,1,78,122,2148,41,145,3490,1265,319,0,714,50,2276,11901,70,2,184,100,0,13,152,254,99,309,690,46,1,99,113,831,4,31,15,1557,48,0,19,36,183,348,155,305,120,4803,3,577,3,196,238,7,400,4,292,454,177,86,12,74,125,855,4,306,3072,1301,42,180,251,19,694,160,131,189,5,562,206,11,5,265,3,20,8,1732,1,21,2722,617,67,40,21604,19,86,3262,17,740,50,104,21,"Group1"
"24","Cell24","Batch2",0,3,12,4,71,77,1376,35,70,3321,984,197,0,407,31,1906,11220,55,1,110,84,1,21,81,250,73,335,711,41,0,83,59,471,0,20,14,1243,36,1,12,35,120,298,182,298,128,4092,5,305,5,114,192,0,223,1,220,261,65,72,21,51,64,664,12,238,1853,1100,14,137,228,18,699,86,104,156,4,422,301,17,6,154,6,6,6,1435,2,24,2314,458,75,36,13480,9,62,1918,21,547,43,141,9,"Group1"
"25","Cell25","Batch2",0,0,3,3,51,78,1126,31,43,2344,690,188,0,354,24,2215,9782,75,0,84,52,0,11,70,195,66,268,350,20,3,65,74,436,1,31,16,1046,50,1,20,33,148,218,124,193,97,4204,4,306,6,172,309,1,167,1,165,297,76,49,3,62,75,738,4,177,1692,955,9,107,98,28,510,65,80,136,7,481,196,10,5,163,4,14,7,964,1,36,2112,383,44,50,12974,2,79,1995,13,326,32,78,6,"Group1"
"26","Cell26","Batch2",0,0,4,3,49,72,1319,20,91,2855,712,159,0,424,23,2153,8843,69,1,120,64,2,8,58,191,33,248,624,42,0,88,63,569,0,18,23,1052,34,9,10,15,112,167,172,217,71,3859,5,270,1,139,312,8,204,6,148,302,145,48,6,56,78,585,9,294,2061,1235,10,140,129,17,724,76,75,105,0,417,226,6,0,157,3,11,2,1134,1,34,1702,408,29,52,13851,10,63,1442,22,393,30,106,11,"Group1"
"27","Cell27","Batch2",0,2,10,2,32,61,988,20,91,1615,441,186,0,359,32,1264,6899,104,0,81,66,1,8,67,170,34,216,442,24,1,44,63,320,0,10,19,487,47,2,17,32,67,123,118,167,60,8804,0,182,8,85,210,1,182,6,115,135,99,53,14,53,67,532,3,160,1193,1060,6,71,205,6,470,40,81,108,0,390,220,6,0,142,1,7,5,925,0,30,1294,309,32,52,10922,15,68,1641,10,315,29,127,7,"Group2"
"28","Cell28","Batch2",0,0,0,1,33,85,1459,37,42,2502,646,226,0,431,35,2391,11153,43,2,142,73,0,13,90,234,51,374,662,41,3,50,49,586,1,23,33,1100,58,0,4,39,103,212,173,213,86,4371,3,326,3,132,175,5,183,3,186,336,113,69,4,34,65,584,3,188,1713,999,10,139,181,18,622,95,104,88,6,429,240,7,1,164,5,25,2,1119,0,22,1627,452,51,18,12930,13,75,2155,32,411,46,80,15,"Group1"
"29","Cell29","Batch2",0,0,2,0,62,88,1369,29,58,2537,667,172,0,340,22,2009,11385,46,0,120,79,2,11,123,234,64,310,599,24,3,76,70,558,3,29,23,1023,66,1,11,34,85,293,162,196,72,5050,6,276,0,150,204,1,205,2,156,322,159,30,10,45,71,792,4,214,2269,1027,18,104,156,13,742,91,130,141,0,533,217,18,17,231,1,19,2,1052,2,25,2320,342,54,36,14375,6,78,2222,30,465,32,117,9,"Group1"
"30","Cell30","Batch2",0,0,10,4,35,90,1231,25,42,2640,754,195,0,414,29,1693,11288,89,4,146,68,4,9,80,217,42,358,544,32,2,62,73,436,2,19,3,466,71,4,6,18,102,294,101,330,66,7150,4,259,0,126,229,4,200,2,212,255,70,92,6,64,86,405,4,250,1529,1208,27,166,249,17,696,75,60,108,4,393,213,8,0,169,4,11,6,1345,2,25,1890,472,51,62,13415,18,37,2012,26,520,53,214,0,"Group2"
"31","Cell31","Batch2",0,0,9,2,84,132,1561,51,95,2779,1112,197,0,626,35,2346,13794,104,0,160,77,3,16,159,318,52,364,705,48,0,63,88,710,0,42,12,1459,61,3,9,51,166,293,156,318,94,3878,2,330,2,227,241,0,284,8,206,439,135,73,6,59,63,737,6,411,2851,1248,20,131,150,28,1023,142,127,157,3,474,247,17,4,256,10,20,5,1679,0,47,2233,441,110,31,19498,7,96,2185,37,512,40,119,9,"Group1"
"32","Cell32","Batch2",0,0,6,4,85,91,1900,37,87,3182,636,182,0,524,31,2278,9057,85,0,123,133,1,17,103,284,68,391,606,47,6,90,65,514,3,53,10,1134,50,3,15,29,89,257,171,267,107,4990,1,392,2,135,239,6,231,12,168,287,113,86,17,69,91,971,1,268,1816,1189,43,176,222,7,850,120,105,184,1,484,328,8,3,191,9,22,8,1324,1,34,2869,432,54,25,16851,12,59,2104,18,660,43,137,7,"Group1"
"33","Cell33","Batch2",0,2,5,0,98,117,1253,27,83,2832,716,248,0,527,45,1674,11525,57,1,93,81,0,7,110,244,38,296,563,42,3,77,76,420,3,54,10,1030,36,4,14,48,64,301,220,254,85,4910,6,397,0,185,255,2,224,4,161,410,110,67,12,40,81,712,9,316,2199,1497,25,170,167,2,573,116,69,163,5,495,154,9,10,177,2,18,4,1107,3,43,2164,416,50,86,14821,15,87,2169,25,514,24,148,1,"Group1"
"34","Cell34","Batch2",0,0,14,2,32,68,946,12,58,2230,596,192,0,393,23,1712,9487,65,2,92,41,1,7,93,95,54,220,553,31,0,47,62,403,2,23,3,408,65,1,3,18,69,232,181,157,52,6552,4,168,0,69,198,1,147,3,199,281,63,56,5,23,80,602,1,190,1150,857,6,100,136,12,416,102,62,118,0,360,170,3,3,144,3,6,0,697,0,17,1484,307,50,46,12516,8,48,1453,24,263,23,117,4,"Group2"
"35","Cell35","Batch2",0,0,1,2,48,47,1168,14,80,2128,571,207,0,268,45,1943,8288,80,2,101,36,0,10,87,164,59,285,449,18,2,36,62,443,0,15,6,452,41,1,8,33,125,228,138,178,93,5963,0,229,1,127,155,1,250,2,212,303,55,33,5,51,61,502,0,232,1605,1034,6,129,201,21,644,74,105,101,2,327,124,16,3,131,10,6,2,1096,0,22,1614,259,36,40,12041,18,97,1845,9,381,26,157,6,"Group2"
"36","Cell36","Batch2",0,2,9,0,80,120,1790,23,98,2915,817,272,0,447,37,2052,14552,57,1,148,94,0,11,181,245,31,376,608,38,1,94,102,797,0,24,24,1471,50,8,10,37,92,238,177,254,134,4941,2,452,6,200,259,2,236,6,273,461,118,69,6,55,73,802,1,341,2399,1386,48,146,169,18,964,103,89,189,7,589,283,5,3,205,6,20,0,1675,0,30,2049,496,54,53,17311,11,77,2661,35,565,35,97,25,"Group1"
"37","Cell37","Batch2",0,0,1,2,39,63,1033,19,56,1864,555,190,0,358,24,1436,9616,51,0,103,40,1,15,86,147,46,230,586,45,2,56,62,371,0,42,14,829,36,9,7,34,56,176,74,129,62,3576,2,233,4,129,185,0,143,4,157,220,86,67,8,40,49,513,3,234,1939,813,19,119,163,13,502,49,59,131,2,481,214,8,0,128,5,19,0,725,0,18,1753,251,33,35,11336,5,45,1561,20,299,50,74,10,"Group1"
"38","Cell38","Batch2",0,4,6,1,89,106,1957,34,70,3466,1136,253,0,423,66,1948,11882,70,3,135,127,4,11,104,234,81,345,787,52,4,69,85,603,0,35,19,1632,56,11,1,47,149,412,189,268,81,5767,7,367,0,153,297,5,230,7,240,463,185,77,10,57,84,838,2,340,2269,1125,19,165,284,19,747,100,119,231,6,434,337,8,18,240,7,14,5,1828,0,30,2492,503,75,58,14061,8,113,2777,25,579,40,142,12,"Group1"
"39","Cell39","Batch2",0,4,6,1,26,102,892,29,46,1520,452,198,0,334,11,1440,6974,58,0,83,38,0,5,57,124,33,227,316,23,0,63,33,370,0,21,4,378,24,0,7,11,51,195,143,149,59,6623,0,194,1,79,128,7,162,11,112,249,116,52,5,31,58,368,0,160,1265,733,14,77,173,16,388,91,75,96,2,260,147,9,3,171,4,18,2,594,0,22,1353,290,46,38,9935,12,49,1179,16,263,26,126,3,"Group2"
"40","Cell40","Batch2",0,0,0,0,20,58,974,21,38,1952,483,165,0,194,26,1507,6069,68,0,96,57,0,7,35,228,23,231,482,39,0,67,43,308,0,31,14,270,40,3,11,18,46,155,80,146,68,6627,2,138,1,98,106,0,124,6,110,241,86,32,6,23,39,446,0,240,1103,759,13,103,214,13,563,61,39,87,0,384,150,4,1,132,8,9,3,1173,1,23,1384,308,32,43,10903,8,55,1758,13,342,23,157,2,"Group2"
"41","Cell41","Batch3",0,10,24,3,32,2,145,153,103,43,41,151,0,31,14,8,36615,31,46,46,939,8,2,216,183,1056,40,13,334,2,16,34,7272,0,105,1,133,73,1,577,25,149,60,1852,18,89,393,1,21,67,143,107,10,242,0,536,36,2130,121,5,128,950,95,1,0,98,29,2,423,227,76,190,652,1325,522,11,525,465,12,5,525,155,27,1,51,2,8,232,881,141,170,5902,62,14,116,44,138,79,125,21,"Group2"
"42","Cell42","Batch3",0,19,11,1,62,3,124,190,111,48,38,82,0,34,6,6,40102,14,38,53,1146,13,2,241,149,1237,85,20,277,2,14,50,8774,1,68,1,357,40,8,543,59,133,65,2062,17,156,271,0,42,24,140,107,10,298,3,440,76,2003,86,9,107,979,155,1,5,157,28,7,272,184,172,69,783,1581,621,3,671,554,17,0,528,98,35,0,53,7,14,260,851,117,120,6235,31,12,82,59,230,94,36,26,"Group1"
"43","Cell43","Batch3",0,10,8,0,53,1,72,174,94,55,32,31,0,32,4,8,26557,9,37,28,926,4,3,239,113,1026,34,27,138,2,10,29,5400,0,106,0,247,54,8,469,44,104,58,1463,23,53,204,4,16,25,70,77,6,185,0,518,36,1135,96,9,100,775,86,3,5,123,20,1,276,160,106,131,599,1069,446,16,491,249,5,0,399,75,37,0,62,0,2,174,702,144,85,4861,11,19,59,31,126,37,39,12,"Group1"
"44","Cell44","Batch3",0,9,20,3,50,5,88,192,95,43,33,67,0,33,9,8,31568,6,29,39,724,0,8,169,102,928,83,39,192,0,7,41,5069,2,85,2,299,65,13,458,62,160,74,1693,15,74,162,14,30,45,97,66,2,205,1,522,44,1621,115,5,91,613,62,0,1,110,31,3,191,120,108,115,496,896,415,20,587,349,8,0,464,127,5,0,39,0,3,212,787,115,99,4472,31,6,32,40,136,33,59,24,"Group1"
"45","Cell45","Batch3",0,28,24,2,38,3,152,249,140,94,31,91,0,38,12,16,38965,17,44,62,1582,2,3,350,265,1682,57,31,361,0,14,62,7580,0,117,0,251,65,20,856,85,138,142,2728,69,132,736,3,23,71,198,204,11,288,1,722,81,2298,141,30,178,1136,139,2,11,179,68,9,458,260,194,178,735,1782,726,13,959,552,31,5,635,97,26,1,81,4,10,351,1168,193,184,5650,43,29,113,67,265,165,137,24,"Group2"
"46","Cell46","Batch3",0,27,11,0,30,2,98,191,133,50,47,66,0,66,19,14,36038,15,36,35,1314,15,1,290,149,1457,89,19,278,7,14,51,9178,0,92,0,420,67,11,502,65,88,82,1814,50,113,307,10,20,35,142,166,10,262,0,746,54,1933,108,10,146,727,101,7,3,150,36,0,299,133,181,128,574,1696,557,13,743,473,10,2,494,134,26,1,40,1,7,306,975,216,117,6830,28,31,122,33,151,127,58,27,"Group1"
"47","Cell47","Batch3",0,19,15,5,33,2,161,116,108,45,24,80,0,66,7,11,27770,15,27,42,1083,9,3,334,155,1050,121,12,207,0,10,54,5781,1,58,0,168,54,6,435,60,141,45,1649,31,106,500,8,8,47,101,109,9,299,0,559,50,2010,110,6,99,696,93,4,7,117,21,7,329,253,142,148,336,881,402,12,574,443,4,2,338,88,11,3,43,0,8,233,923,127,144,5726,58,6,70,41,121,65,151,13,"Group2"
"48","Cell48","Batch3",0,20,11,0,58,9,134,346,111,41,27,114,0,34,23,18,38974,15,33,58,1030,0,3,319,153,1263,47,37,393,0,8,69,7205,3,74,0,347,57,5,535,76,136,101,1772,35,140,387,15,29,27,105,125,4,329,3,698,83,2211,178,10,159,945,125,0,9,166,52,7,383,217,159,251,757,1249,508,14,750,677,14,1,566,154,36,2,38,8,12,179,1268,192,156,6374,26,27,84,45,165,140,71,37,"Group1"
"49","Cell49","Batch3",0,5,5,1,16,6,124,108,87,45,19,72,0,21,1,5,21872,15,34,29,715,1,1,219,145,945,71,18,145,0,8,39,6591,0,110,0,120,57,4,356,36,97,75,1552,41,93,320,3,7,23,97,121,4,217,0,472,30,1319,78,10,74,622,40,3,6,105,26,11,201,210,102,117,592,991,357,22,491,499,11,0,399,62,27,0,39,3,6,182,733,148,106,4028,40,13,74,26,132,70,69,26,"Group2"
"50","Cell50","Batch3",0,22,26,0,72,5,163,289,145,52,44,53,0,44,14,11,47901,9,44,42,1171,6,2,260,162,1165,98,16,179,0,5,76,7216,1,112,1,441,56,5,662,77,168,76,1740,39,136,283,11,34,40,171,159,4,278,1,637,42,2479,126,18,120,728,100,2,5,140,35,2,351,160,166,203,990,1405,498,0,838,452,18,2,570,109,39,0,73,5,12,214,1037,136,169,6266,32,13,110,38,161,117,50,35,"Group1"
"51","Cell51","Batch3",0,18,27,0,15,4,149,92,96,57,37,77,0,28,10,5,28123,9,45,23,871,3,0,235,138,958,67,32,205,0,7,44,6245,0,172,1,147,56,9,593,42,101,85,1556,17,129,443,10,8,17,86,61,1,227,0,504,46,1848,134,17,101,708,82,1,7,88,32,8,294,123,128,217,458,1349,437,16,658,345,2,0,390,79,27,3,47,3,23,205,746,105,120,5295,65,22,107,47,123,78,89,22,"Group2"
"52","Cell52","Batch3",0,32,23,0,51,0,160,324,158,68,37,114,0,30,16,14,42434,13,45,53,1328,4,1,344,159,1295,113,33,223,3,14,68,9460,0,117,0,317,52,13,632,97,143,113,1880,42,119,257,6,23,36,202,222,9,238,1,614,56,2529,141,25,164,1302,185,5,3,131,57,11,576,175,167,277,933,1659,586,5,752,453,10,0,824,109,71,1,53,5,3,206,1185,160,131,7182,51,7,113,48,178,117,50,41,"Group1"
"53","Cell53","Batch3",0,33,12,0,34,3,158,249,108,37,26,69,0,18,14,6,40332,8,25,34,1028,5,4,218,177,1005,105,48,260,0,5,43,5969,2,105,1,225,57,10,746,70,93,88,1818,23,136,176,9,28,18,123,134,8,198,1,466,42,1596,100,9,99,834,121,1,2,155,35,5,420,198,138,217,608,1385,421,12,725,545,2,1,583,67,11,1,37,1,5,201,965,143,163,6318,36,20,105,37,122,45,51,37,"Group1"
"54","Cell54","Batch3",0,1,10,2,22,4,40,148,102,25,12,79,0,40,5,22,25390,12,27,57,825,0,4,300,129,836,44,27,193,3,6,40,5831,1,72,1,250,41,9,451,56,151,86,1628,28,103,140,8,22,46,71,114,7,125,1,533,49,1753,102,4,110,493,112,2,11,137,28,8,296,165,166,207,458,1136,418,11,536,328,13,0,429,86,11,2,34,1,10,204,883,189,91,5512,29,23,55,32,143,76,54,29,"Group1"
"55","Cell55","Batch3",0,9,12,0,29,8,72,193,84,46,22,67,0,41,18,3,23440,4,33,37,827,2,2,151,181,847,44,25,191,4,9,34,4120,1,54,1,218,27,3,381,37,96,16,1336,20,124,226,15,10,31,64,101,15,206,0,473,49,1551,81,11,66,570,88,0,5,154,20,3,236,115,142,215,527,970,359,23,481,257,16,3,407,63,50,0,30,3,5,216,771,120,106,5100,12,8,103,34,110,76,30,25,"Group1"
"56","Cell56","Batch3",0,15,16,1,29,1,59,213,95,45,29,59,0,29,10,4,24809,11,23,45,808,0,2,215,131,928,66,28,250,8,5,45,5344,2,65,0,219,35,4,311,69,110,48,1335,35,67,167,2,17,41,86,204,5,192,0,705,39,1554,67,18,69,638,73,2,3,127,30,19,218,146,186,104,654,914,441,12,460,346,8,1,432,63,33,0,28,1,3,155,939,134,147,4192,11,16,59,44,82,70,45,34,"Group1"
